Clt_No,Po_No,Accumulate,Surveyor,Survey_date,Insured_name,Risk_location,DIV,CTR,CLS,STT,Effective_date,Inception_date,Renew_date,Contract_type,Rkn,Risk_type,Original_SI,VND_SI,Survey date1,Survey date 2,Survey date 3,Survey date 4,Survey date 5,Survey date 6,Survey date 7,Survey date 8,Survey date 9,Fire code,Agent name,Occupation,Business Line,Remark,Month,Year
10014591,20038525,BNTSPCS8N6,,,OGINO VIETNAM TU SON COMPANY LIMITED,"OGINO VIETNAM TU SON COMPANY LIMITED, No.06, 08 Str., VSIP Bac Ninh, Phu Chan, Tu Son, Bac Ninh",VH,JPN,C,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"670,742,728,941.00","670,742,728,941.00",,,,,,,,,,18.2A,DIRECT HANOI,Producing metal parts for machinery,  ,,,
10003743,20014551,DNLTLDIPPE,VKH,10/05/2022,"PEGASUS SHIMAMOTO AUTO PARTS (VIETNAM) CO., LTD.","PEGASUS SHIMAMOTO AUTO PARTS CO.,LTD, Long Duc IP, Long Duc Ward, Long Thanh, Dong Nai",VC,JPN,C,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"10,182,217.00","235,514,679,210.00",,,,,,,,,,18.2A,DIRECT HCM,Auto Part Manufacturing,  ,,5,2022
10000346,20001064,DNBHAIPSHI,VKH,07/01/2022,SHISEIDO VIETNAM INC,"SHISEIDO VIETNAM CO., LTD, Lot 231-233-235-237, Amata IP, Long Binh, Bien Hoa, Dong Nai",VC,JPN,C,IF,02/01/2021,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"1,308,607,541,210.00","1,308,607,541,210.00",20180117,,,20180117,,20160706,,,,18.1AB,MARSH-BRK-VC,As above,Cosmetic Manufacturer and all other related activities.  ,,1,2022
10000051,20001805,HNDATLIPMF,INT,23/08/2022,"SUMITOMO HEAVY INDUSTRIES (VIETNAM) CO.,LTD","SUMITOMO HEAVY INDUSTRIES (VIETNAM) CO., LTD - MF, I-7-8-9, Thang Long IP, Dong Anh, Ha Noi",VH,JPN,C,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"38,293,151.00","885,721,170,526.00",20180921,,,20180921,,,20151016,,20130828,18.2A,DIRECT HANOI,Producing Electric motor for machinery,  ,,8,2022
10000691,20010432,DNBHSHOWPL,,,"TENMA (HCM) VIETNAM CO., LTD","TENMA (HCM) VIETNAM CO., LTD., No.10, Road 9A, Bien Hoa 2 IZ, Bien Hoa City, Dong Nai",VC,JPN,E,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"538,220,400,000.00","538,220,400,000.00",20170727,,,,20170727,,,20141222,,18.1AB,AON-BRK-VC,As mentioned above,"Principally manufacturing of plastic products, plastic injection and blow moulded mass production for Electrical appliances, Motorcycles, Industrial plastic",,,
10000084,20003053,BDBCTDTOCO,MCN,09/09/2022,"TOSHIBA VIETNAM CONSUMER PRODUCTS CO., LTD","TOSHIBA VIETNAM CONSUMER PRODUCTS CO., LTD, Xa Tan Dinh, Huyen Ben Cat, Binh Duong",VC,JPN,C,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,9,ARB - PROPERTY ALL RISKS,"251,100,000,000.00","251,100,000,000.00",20140604,,,,,,,20140604,,18.1AB,AON-BRK-VC,As above,"Manufacturing and assembling color TV, color TV parts, and all other activities incidental thereto. ",,9,2022
10000245,20011951,DNBHLBL101,NNH,26/07/2022,"TOYO INK VIETNAM CO., LTD","TOYO INK  VIETNAM CO., LTD., Plot 201, Long Binh Techno Park, Bien Hoa, Dong Nai",VC,JPN,E,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"174,516,265,605.00","174,516,265,605.00",20180212,,,20180212,,20160909,,,20131121,18.1AB,DIRECT HCM,Ink Manufacturer,  ,,7,2022
10005148,20016356,QNSTTPVSIP,,,URC CENTRAL CO. LTD,"URC CENTRAL CO. LTD, No. 8 VSIP Quang Ngai Street A4, Son Tinh, Quang Ngai",VC,PHL,B,RR,01/01/2022,01/12/2020,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"7,380,000.00","171,068,400,000.00",20180806,,,20180806,,,20150908,,,18.2A,AON-BRK-VC,As Described above,"Principally manufacture of candies, snacks, chocolate, biscuits, wafers, nonalcoholic beverage and other food related products and all other incidental activities",,,
10002494,20009863,HNQOTTURC,,14/06/2022,"URC HANOI CO.,LTD","URC HANOI CO.,LTD, Lot CN 2.2, Thach That IP - Quoc Oai, Ha Noi",VC,JPN,B,RR,01/01/2022,01/12/2020,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"22,620,000.00","524,331,600,000.00",20140822,,,,,,,20140822,,18.2A,AON-BRK-VC,As Described above,"Principally manufacture of candies, snacks, chocolate, biscuits, wafers, nonalcoholic beverage and other food related products and all other incidental activities",,6,2022
10002491,20009860,BDTAVSIP26,VKH,08/06/2022,URC VIETNAM CO. LTD.,"URC VIETNAM CO. LTD, No. 26, Road 6, VSIP 1, Thuan An District, Binh Duong",VC,PHL,B,RR,01/01/2022,01/12/2020,31/12/2021,ARC - PROPERTY ALL RISKS,1,ARB - PROPERTY ALL RISKS,"46,020,000.00","1,066,743,600,000.00",20170419,,,,20170419,,,20140225,,18.2A,AON-BRK-VC,As described above,"Principally manufacture of candies, snacks, chocolate, biscuits, wafers, nonalcoholic beverage and other food related products and all other incidental activities",,6,2022
